"","race","age","engnat","gender","hand","source","country","E1","E2","E3","E4","E5","E6","E7","E8","E9","E10","N1","N2","N3","N4","N5","N6","N7","N8","N9","N10","A1","A2","A3","A4","A5","A6","A7","A8","A9","A10","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","O1","O2","O3","O4","O5","O6","O7","O8","O9","O10"
"4571","South East Asian",18,"No","Female","Right",5,"US",2,4,4,3,4,4,4,3,2,2,1,3,1,3,2,3,1,5,4,3,2,1,3,2,2,2,2,4,4,4,2,2,2,2,3,2,3,3,3,3,4,2,5,4,3,5,4,2,3,4
"4572","European",25,"Yes","Female","Right",1,"GB",3,5,5,4,5,5,5,3,4,3,2,3,2,2,4,2,3,2,2,2,1,1,1,1,1,1,1,1,5,4,4,3,2,3,3,3,2,5,2,3,4,4,5,3,4,1,4,3,5,4
"4573","European",30,"No","Female","Right",1,"NL",1,2,1,2,1,3,1,2,1,1,1,1,1,1,1,5,1,5,5,4,2,3,2,2,2,3,2,3,5,1,3,2,3,4,3,2,4,3,3,2,5,5,5,5,5,5,5,5,5,4
"4574","European",25,"Yes","Female","Right",5,"US",3,4,2,2,5,5,5,1,1,3,1,3,1,1,4,2,3,3,2,4,1,2,1,2,1,5,2,1,5,5,2,1,2,2,5,5,2,3,5,1,5,5,4,5,5,5,3,3,5,4
"4575","European",52,"Yes","Female","Right",2,"CA",3,4,4,4,4,4,4,3,4,3,2,4,1,3,3,1,5,1,2,3,1,4,1,2,2,1,2,2,4,5,2,1,2,1,1,5,2,5,2,1,3,2,4,4,4,5,4,2,2,4
"4576","European",30,"Yes","Female","Right",1,"US",3,3,4,3,5,4,3,3,3,3,3,4,3,3,4,2,4,2,2,2,1,1,2,1,1,2,1,1,5,5,2,2,1,2,3,4,3,4,3,3,5,3,3,4,4,4,4,4,5,4
"4577","Native American",57,"Yes","Female","Right",1,"US",5,5,1,1,5,5,5,1,5,1,1,1,1,1,5,5,5,1,5,5,1,1,5,1,1,1,1,1,5,5,5,1,1,1,1,5,1,5,1,1,1,1,5,5,5,5,5,1,5,5
"4578","European",26,"Yes","Female","Right",5,"US",3,3,4,4,5,5,4,2,3,5,3,3,2,5,2,3,5,1,3,1,1,2,1,1,1,1,1,1,4,4,2,2,2,1,4,3,1,3,1,2,3,4,3,3,4,5,3,3,3,3
"4579","Indian",27,"Yes","Male","Right",1,"IN",1,5,4,1,2,2,1,2,3,1,3,5,2,2,3,3,1,5,3,4,1,2,1,1,2,1,2,4,5,4,3,1,3,2,3,5,3,4,3,3,4,5,4,2,3,5,5,1,5,4
"4580","North East Asian",21,"Yes","Female","Right",1,"AU",4,4,4,5,4,4,4,4,5,4,2,2,2,2,2,4,2,4,3,4,1,2,3,1,1,1,2,3,4,3,2,4,2,2,2,4,1,3,3,3,4,5,4,5,4,4,4,3,4,4
"4581","European",27,"No","Male","Right",1,"GB",1,2,1,3,2,4,1,3,2,2,2,3,2,2,4,4,3,3,2,4,2,2,3,2,2,3,2,3,4,2,4,2,2,2,4,4,2,4,3,3,4,5,4,5,4,3,4,3,4,4
"4582","South East Asian",25,"Yes","Male","Right",2,"SG",3,5,5,1,4,4,4,1,2,4,4,4,4,2,4,2,4,2,3,2,1,1,2,2,1,3,2,1,4,5,4,1,2,2,4,4,1,3,2,2,3,4,4,4,3,4,5,2,4,3
"4583","European",35,"No","Male","Left",2,"ES",5,5,5,5,5,5,5,3,5,5,5,1,1,3,5,1,5,1,2,5,3,2,1,1,3,5,2,4,4,5,1,1,1,1,3,5,1,5,1,1,5,5,5,5,5,5,5,5,4,5
"4584","European",59,"Yes","Male","Left",1,"US",3,1,5,4,4,2,4,5,4,2,3,5,4,5,4,1,4,1,5,1,1,1,1,1,1,2,1,1,5,5,1,3,1,1,1,5,2,5,1,1,5,1,4,1,5,5,5,5,4,5
"4585","Other",39,"Yes","Male","Right",2,"US",4,5,3,2,4,4,4,2,2,2,4,3,2,3,4,3,3,2,3,3,2,2,1,4,2,2,2,3,2,5,2,4,2,1,2,3,2,5,2,2,5,3,3,3,4,4,4,2,5,4
"4586","Indian",27,"No","Female","Right",1,"PK",3,3,5,3,4,4,4,4,3,3,3,3,3,3,4,2,2,2,2,3,4,3,1,2,2,3,2,3,3,3,3,2,2,3,3,4,3,4,3,2,3,4,3,5,3,4,4,3,3,4
"4587","European",20,"Yes","Male","Right",1,"GB",3,2,2,2,3,4,4,3,3,1,1,1,1,2,1,4,1,4,4,4,2,4,5,4,4,4,4,4,3,1,4,4,2,3,5,4,3,2,4,3,5,4,5,5,5,5,4,5,4,5
"4588","Arctic",60,"Yes","Female","Both",1,"US",4,5,5,4,5,4,5,2,4,4,3,2,5,4,4,1,5,1,1,1,1,1,2,1,2,1,1,1,5,4,2,3,5,3,2,3,3,5,4,5,5,5,5,5,5,5,5,5,5,5
"4589","Other",50,"Yes","Female","Right",1,"GB",4,5,5,5,5,5,5,3,4,5,3,3,2,2,1,1,3,3,3,2,4,1,1,1,1,2,1,1,5,5,3,3,2,1,4,3,1,5,1,3,3,4,5,5,3,5,3,1,4,5
"4590","Missed",22,"Yes","Female","Right",2,"US",4,4,2,3,3,3,1,3,3,2,3,3,2,3,2,5,1,4,4,3,1,4,1,1,3,1,5,2,3,5,2,2,1,2,3,5,2,3,2,2,4,4,4,3,5,5,4,3,5,3
"4591","European",37,"Yes","Male","Right",1,"US",2,4,3,3,1,5,3,5,4,3,3,3,2,3,4,1,3,2,2,3,1,2,1,1,1,2,1,3,4,3,2,4,2,1,4,3,3,3,3,1,5,5,5,5,5,5,5,5,5,5
"4592","Mixed",18,"No","Female","Right",1,"US",2,2,3,2,3,2,1,2,4,1,3,3,2,3,4,2,4,3,2,3,4,2,2,2,2,2,2,2,4,3,3,2,1,3,3,2,2,4,2,3,3,4,4,5,4,5,4,3,4,4
"4593","European",16,"Yes","Female","Right",1,"AE",2,2,3,2,3,3,2,1,1,1,3,4,2,2,3,4,3,4,3,3,1,3,3,2,2,2,2,2,3,4,3,4,2,4,4,2,3,2,4,4,1,4,3,3,3,4,4,1,4,4
"4594","Indian",22,"No","Female","Right",1,"IN",4,4,3,2,2,4,2,1,1,1,1,3,1,2,1,4,1,5,4,4,1,3,2,1,3,1,3,1,5,5,5,3,2,4,5,2,2,1,4,2,2,4,5,4,4,5,5,2,5,5
"4595","Mixed",17,"Yes","Female","Right",1,"US",3,5,4,4,5,4,4,3,4,3,1,2,1,2,3,5,2,3,5,3,1,1,2,2,2,1,1,1,4,3,3,4,3,3,5,1,3,3,3,3,3,3,5,5,3,5,3,3,5,5
"4596","South East Asian",22,"No","Male","Right",1,"IN",1,1,3,1,5,4,3,1,3,2,5,5,1,3,5,4,3,2,3,2,3,3,1,1,1,2,1,1,5,5,1,1,1,1,2,5,1,5,1,2,3,5,4,5,4,5,5,2,5,5
"4597","Other",22,"Yes","Male","Right",1,"PK",1,5,5,5,5,1,5,5,1,4,1,5,1,4,1,5,2,4,4,4,1,1,4,4,1,1,1,1,1,4,1,1,1,4,2,4,1,2,2,2,5,5,2,5,5,5,5,5,5,5
"4598","Other",20,"Yes","Male","Right",1,"US",3,2,4,2,3,3,2,4,5,2,3,3,1,2,4,1,3,1,3,2,1,1,1,2,1,2,3,1,3,4,2,4,2,3,3,3,2,5,3,2,3,4,5,5,3,4,5,2,5,3
"4599","Indian",15,"No","Male","Both",1,"US",1,1,1,5,1,1,1,1,1,1,5,1,5,5,1,1,1,5,5,1,1,1,1,5,1,1,1,1,5,5,1,1,1,5,5,1,5,1,5,1,1,1,4,5,5,5,5,5,1,5
"4600","European",25,"No","Female","Right",2,"SE",1,3,1,1,2,2,1,4,5,2,4,4,2,2,1,1,5,1,3,4,2,4,1,3,3,2,5,5,1,5,3,4,2,5,5,1,3,1,4,4,4,3,5,5,4,5,5,4,4,2
"4601","European",22,"No","Female","Right",5,"DK",4,4,4,4,5,4,4,3,4,2,4,5,2,4,3,2,3,2,3,2,2,2,1,4,3,1,2,2,3,4,3,1,2,2,4,5,2,3,2,1,5,4,4,4,3,4,4,4,5,3
"4602","European",16,"Yes","Male","Right",1,"US",4,3,5,4,4,3,4,3,4,3,1,2,1,1,4,5,1,4,3,4,1,1,3,2,1,1,2,1,5,4,4,4,2,3,4,1,5,3,4,4,4,4,3,4,3,4,5,4,3,5
"4603","Native American",23,"No","Male","Right",2,"IN",2,2,3,2,4,4,2,2,3,2,4,2,1,4,2,5,2,3,5,4,4,3,3,3,4,2,4,4,4,3,5,3,2,3,4,2,4,3,4,4,1,2,3,4,1,4,2,2,5,1
"4604","European",27,"Yes","Female","Right",4,"US",3,4,2,2,2,4,2,2,2,1,2,2,2,2,2,4,2,2,4,4,2,2,1,1,2,1,2,2,4,4,4,4,5,4,5,2,4,3,4,4,4,2,4,3,3,4,1,2,2,2
"4605","Other",41,"Yes","Female","Left",5,"US",3,5,3,3,3,4,3,3,3,2,2,3,1,3,3,3,3,3,3,3,2,2,2,3,2,3,2,2,3,4,3,3,1,1,3,5,2,4,4,2,4,5,3,4,5,3,4,4,4,4
"4606","Missed",23,"Yes","Female","Right",5,"US",5,5,5,5,5,5,5,2,4,1,3,4,1,4,2,3,4,2,3,1,1,1,1,1,1,1,1,1,5,5,1,4,1,1,3,4,1,4,3,4,4,4,5,3,5,5,5,3,4,5
"4607","Indian",33,"No","Female","Right",1,"IN",2,5,3,2,5,5,1,5,3,4,1,3,1,2,1,5,1,3,5,3,1,3,3,1,1,1,4,1,4,3,3,5,1,3,3,3,1,3,3,1,4,5,4,5,5,5,4,2,5,5
"4608","European",51,"Yes","Male","Right",1,"US",2,4,5,4,3,5,4,2,2,2,4,3,3,3,5,3,3,1,3,2,1,1,1,2,1,2,1,2,4,3,3,3,3,2,4,3,3,4,3,3,4,3,5,3,3,5,4,4,4,4
"4609","Mixed",24,"Yes","Female","Right",2,"US",5,5,5,4,5,5,5,3,4,4,4,4,3,4,2,2,4,2,1,1,1,1,2,1,2,1,1,2,4,4,3,4,2,2,5,3,3,3,3,3,4,2,4,3,4,5,4,4,4,3
"4610","South East Asian",24,"No","Female","Right",1,"NL",3,2,4,1,1,1,4,4,5,1,3,4,2,4,4,1,3,2,3,1,2,2,1,3,4,3,5,3,4,5,2,5,2,1,2,4,1,4,3,1,3,2,5,3,4,5,4,2,3,4
"4611","Other",24,"No","Male","Right",2,"PK",1,2,1,2,1,1,1,2,3,2,5,1,2,4,3,5,2,4,3,3,3,3,3,1,3,1,5,3,5,4,3,3,2,2,2,2,1,5,1,5,3,2,3,2,2,2,5,4,2,3
"4612","European",20,"No","Male","Right",3,"HK",2,4,4,3,5,3,3,2,4,3,5,5,4,1,4,1,4,2,1,1,4,2,2,2,3,4,3,2,4,5,3,5,2,5,5,1,5,4,5,4,3,5,4,5,5,5,5,3,5,4
"4613","European",19,"Yes","Female","Right",1,"US",3,4,4,4,4,4,4,4,5,3,3,3,3,2,5,2,2,3,2,3,4,1,3,5,4,4,2,2,2,4,3,5,1,1,4,2,3,4,2,2,4,5,5,5,5,4,5,4,5,5
"4614","European",30,"Yes","Male","Right",1,"US",1,2,1,1,1,3,1,1,1,1,3,3,1,1,4,3,3,3,3,5,2,4,3,1,3,3,5,3,5,3,3,3,1,3,5,1,3,3,5,1,5,5,5,5,5,5,5,5,5,5
"4615","European",34,"Yes","Male","Right",2,"US",3,4,2,3,1,5,1,2,2,1,3,2,1,3,4,1,3,2,2,3,1,2,1,1,2,1,2,2,5,5,2,2,2,1,4,4,1,5,2,4,5,5,5,5,5,5,5,4,5,5
"4616","Other",20,"No","Male","Right",1,"MX",3,4,4,4,4,4,4,3,4,3,4,4,2,5,4,1,4,2,4,1,1,1,3,2,1,3,2,2,4,4,2,3,2,3,5,2,1,2,2,2,5,5,2,5,4,3,5,5,5,4
"4617","European",16,"No","Female","Right",1,"GB",1,1,2,1,2,5,1,2,5,5,1,1,2,3,1,3,3,3,3,3,4,2,1,2,5,4,3,3,5,2,1,2,3,3,3,1,2,2,1,2,5,3,5,3,5,5,5,4,4,5
"4618","Indian",22,"Yes","Male","Right",1,"IN",3,5,5,3,4,3,4,1,4,3,1,2,1,3,1,5,4,1,2,3,1,1,1,1,1,1,1,1,5,4,2,4,1,3,2,3,1,5,2,3,4,4,5,5,5,5,4,3,5,5
"4619","European",27,"Yes","Male","Right",1,"NZ",4,2,3,2,2,3,2,2,3,2,3,4,3,2,1,3,4,2,4,3,2,1,5,2,2,2,2,3,3,4,2,3,4,3,4,2,2,3,4,4,5,2,4,5,4,5,2,4,4,4
"4620","European",51,"Yes","Female","Both",5,"US",2,2,4,3,4,4,2,2,2,2,3,3,3,2,5,1,4,1,1,1,5,1,1,1,1,1,1,1,5,4,2,3,1,2,3,3,3,5,3,1,4,4,5,5,4,5,5,3,5,3
"4621","European",18,"Yes","Male","Both",1,"GB",3,2,3,1,3,2,2,1,2,2,2,4,2,3,5,1,2,4,3,3,2,3,1,1,3,2,2,1,4,3,1,1,1,2,1,5,2,4,3,2,4,5,5,4,4,3,5,3,3,4
"4622","North African and Other",19,"Yes","Male","Right",2,"US",1,5,2,3,5,5,3,3,2,4,1,1,1,2,5,5,3,3,5,4,3,4,3,2,2,3,3,2,4,4,5,3,5,3,5,1,3,3,5,3,1,3,5,3,5,5,3,1,2,5
"4623","Middle East",14,"Yes","Male","Left",1,"US",4,4,3,3,4,4,3,2,5,2,3,4,3,2,5,2,4,1,3,2,5,2,2,2,1,2,1,2,4,3,3,4,3,4,4,1,4,3,5,3,3,4,3,4,3,5,3,2,5,5
"4624","European",43,"Yes","Female","Right",1,"GB",1,2,2,1,3,4,1,1,1,1,1,2,1,1,1,5,1,5,5,5,5,3,1,3,2,5,2,3,3,1,3,5,1,5,5,1,1,2,5,2,4,1,5,3,3,5,3,2,5,5
"4625","Mixed",25,"Yes","Male","Right",5,"US",1,4,2,2,3,2,1,2,1,1,5,2,4,2,4,1,5,1,3,1,1,4,1,2,2,3,3,2,4,3,1,2,2,3,3,5,1,5,2,1,4,5,2,1,2,2,4,2,5,3
"4626","European",18,"Yes","Female","Right",1,"US",2,2,2,2,2,2,2,1,1,2,2,2,1,1,3,4,3,3,4,4,4,4,4,3,4,4,4,3,3,2,2,2,2,3,3,5,2,3,3,3,4,4,4,3,4,4,4,3,4,4
"4627","European",31,"Yes","Male","Right",1,"US",4,3,5,4,4,4,5,4,5,3,2,3,1,3,1,4,1,4,4,4,5,3,4,4,3,4,2,2,4,3,3,1,1,1,3,5,1,4,3,3,5,3,5,5,4,4,5,4,4,3
"4628","European",27,"Yes","Female","Right",2,"US",4,4,4,3,3,5,5,2,3,3,4,4,3,3,3,2,4,2,2,2,2,1,3,2,1,3,1,1,5,5,3,2,2,2,3,4,2,4,2,3,3,5,4,5,3,4,3,3,5,3
"4629","Mixed",20,"Yes","Female","Right",4,"US",4,5,4,4,4,4,5,4,4,4,2,4,4,4,2,3,4,4,4,2,1,1,2,1,1,1,2,2,4,4,3,2,3,2,3,2,3,3,3,3,3,4,4,4,3,4,3,3,4,3
"4630","Mixed",40,"Yes","Female","Right",1,"US",3,4,4,2,5,5,2,2,2,1,4,2,1,2,4,2,4,2,4,3,1,1,4,1,1,2,2,1,5,5,4,5,2,1,4,2,4,3,4,2,4,3,5,4,5,5,4,2,4,5
"4631","European",20,"No","Female","Right",1,"ZA",2,5,4,3,4,4,3,2,3,3,2,3,1,2,2,4,1,4,4,4,1,1,2,1,1,1,1,1,4,4,3,1,3,3,4,5,2,3,4,3,4,5,4,4,3,4,5,4,5,3
"4632","Other",16,"No","Male","Right",2,"GB",3,5,3,4,3,5,2,1,3,1,4,5,3,2,3,5,4,2,3,2,4,2,3,2,1,3,1,3,5,3,5,4,3,1,3,3,1,3,4,3,3,5,5,5,3,5,4,4,5,5
"4633","Indian",19,"No","Male","Right",1,"IN",4,1,1,1,4,1,1,1,5,5,1,5,4,5,1,5,1,5,5,5,5,2,5,2,1,1,2,5,5,5,2,5,4,5,2,1,1,1,5,1,2,4,5,5,5,4,5,4,5,5
"4634","Other",24,"No","Male","Right",1,"BR",3,4,4,2,4,3,3,2,3,3,3,3,2,2,2,3,2,3,3,4,4,2,3,2,2,4,2,2,4,3,5,4,2,5,5,1,4,2,4,4,4,5,5,4,3,5,4,5,4,4
"4635","European",44,"No","Male","Right",1,"AT",1,2,4,3,5,5,5,2,5,5,4,3,2,2,5,2,3,2,1,1,2,2,1,2,3,1,5,2,5,5,4,4,1,2,3,1,5,4,2,1,5,5,5,5,5,5,5,5,5,5
"4636","European",23,"Yes","Female","Right",1,"GB",4,5,4,4,4,5,2,4,5,4,4,2,2,3,1,4,3,2,3,2,1,2,1,1,1,2,1,1,5,4,4,4,4,4,5,1,4,2,3,3,4,4,5,3,4,5,4,4,5,4
"4637","European",40,"Yes","Male","Right",1,"US",2,4,4,2,2,2,2,2,3,2,4,4,4,4,3,3,4,3,3,3,3,3,2,3,4,2,4,2,4,3,2,2,2,2,4,4,2,4,2,2,3,3,2,2,2,4,3,3,4,3
"4638","Middle East",32,"Yes","Male","Right",1,"GB",3,4,2,2,5,5,4,2,4,3,3,3,2,3,3,3,4,3,4,3,4,1,2,1,1,1,1,1,5,5,2,4,1,3,3,2,5,3,1,2,5,3,5,3,5,5,3,5,5,5
"4639","Mixed",40,"Yes","Female","Right",1,"US",2,5,4,2,4,5,4,1,4,1,4,2,2,3,5,2,4,1,4,2,5,1,1,1,1,1,1,2,4,5,3,5,1,1,5,1,2,4,5,1,3,4,2,3,5,2,5,2,4,5
"4640","European",58,"Yes","Female","Right",1,"GB",3,5,4,4,5,5,5,4,5,5,3,2,1,3,1,5,1,4,5,3,4,5,1,4,4,3,3,2,2,3,1,1,1,3,1,5,1,5,1,1,2,5,5,1,3,5,5,1,5,3
"4641","South East Asian",24,"No","Male","Right",5,"US",4,5,4,2,5,3,5,3,5,3,1,4,1,4,1,3,4,2,4,3,4,1,3,2,5,3,3,2,5,4,3,3,1,3,5,4,2,3,2,3,2,3,4,1,4,4,5,3,4,3
"4642","European",24,"Yes","Female","Right",1,"GB",2,2,3,1,3,2,4,1,1,1,3,2,1,1,3,4,2,4,2,4,5,2,1,2,1,3,2,2,4,3,2,4,1,2,3,3,3,4,3,2,3,4,5,4,2,4,5,3,5,2
"4643","European",21,"Yes","Female","Right",1,"US",2,2,3,2,3,4,2,2,2,1,2,3,2,4,3,2,4,2,2,2,1,2,1,1,1,1,1,2,5,4,2,1,1,2,2,4,1,5,1,2,4,4,5,4,4,5,4,3,5,3
"4644","European",18,"Yes","Male","Right",1,"GB",3,5,2,4,4,4,2,3,3,3,3,4,3,4,5,1,4,1,5,1,4,4,5,4,4,4,4,4,4,2,2,4,1,2,4,3,2,4,1,2,5,3,4,4,5,5,5,5,4,5
"4645","Other",35,"Yes","Female","Left",2,"US",1,1,1,1,1,2,1,1,1,1,4,5,4,1,4,1,4,2,2,5,4,5,2,4,5,2,5,4,2,2,2,1,2,1,4,4,1,1,2,1,4,5,5,5,5,5,5,2,5,4
"4646","Indian",22,"No","Female","Right",2,"GB",3,3,5,4,5,4,5,4,3,5,1,4,1,1,4,1,3,1,2,1,5,3,1,1,5,1,2,1,4,5,3,1,1,1,4,5,2,5,2,1,4,2,4,4,2,5,4,1,2,3
"4647","European",18,"Yes","Female","Both",2,"US",2,3,2,3,3,3,2,3,4,1,3,4,2,2,4,2,2,4,4,3,2,2,3,4,4,4,2,2,4,2,2,4,4,4,4,2,4,4,2,4,4,4,4,4,3,5,4,4,4,4
"4648","South East Asian",26,"No","Male","Right",1,"US",4,5,5,4,5,5,5,4,5,4,1,3,1,2,4,4,2,4,3,4,1,1,5,2,2,4,2,1,4,4,2,4,1,3,4,1,2,5,2,3,4,3,5,2,5,5,2,2,5,4
"4649","European",27,"No","Male","Left",2,"CA",3,4,4,4,4,4,4,2,4,3,3,4,3,3,4,2,3,2,2,2,4,1,2,2,2,2,2,2,4,4,3,3,3,3,3,3,3,3,3,3,4,4,3,4,3,4,4,2,4,3
"4650","Mixed",30,"Yes","Female","Right",2,"US",3,4,3,3,3,4,1,3,3,2,2,3,3,3,4,3,4,2,4,2,1,2,1,1,2,1,2,1,4,4,3,5,5,3,5,1,2,3,3,4,5,5,3,5,5,4,5,5,4,3
"4651","European",20,"Yes","Female","Right",1,"US",3,4,4,4,4,4,5,3,3,3,2,3,2,3,4,3,2,3,3,3,1,1,1,1,1,1,1,2,5,4,3,3,2,4,4,2,3,5,4,2,4,5,5,5,4,5,3,3,5,4
"4652","European",21,"No","Female","Right",1,"DE",1,1,1,1,2,4,1,1,1,1,3,2,2,3,4,1,4,2,2,2,4,1,3,3,4,4,5,3,3,2,1,2,1,1,3,5,1,4,2,1,5,5,5,5,5,5,5,5,5,5
"4653","European",20,"Yes","Female","Right",1,"US",2,5,3,2,3,4,2,2,2,1,3,3,1,2,3,2,3,1,4,3,1,2,4,1,2,1,2,2,4,3,4,5,2,5,5,2,2,4,2,3,4,3,4,3,5,4,5,4,5,5
"4654","European",37,"Yes","Male","Right",1,"GB",2,4,4,4,4,4,4,4,4,2,4,4,2,2,3,4,3,3,4,3,3,2,4,3,3,3,3,3,2,2,3,3,3,3,3,2,4,3,3,3,4,4,4,4,4,4,4,4,4,3
"4655","West African",56,"Yes","Female","Right",5,"US",2,3,4,4,1,3,2,3,2,1,3,3,3,2,3,2,4,2,1,2,1,1,1,2,2,1,1,2,5,4,3,3,2,3,3,2,4,5,3,1,4,3,5,4,4,5,3,4,3,4
"4656","Other",22,"Yes","Female","Right",1,"US",4,4,5,4,5,5,4,2,3,2,1,3,2,2,3,2,2,2,3,2,1,2,1,1,1,1,1,1,5,5,4,2,1,3,2,3,1,5,1,3,3,4,3,4,4,5,4,3,3,4
"4657","European",20,"Yes","Male","Left",1,"GB",3,1,3,2,3,4,5,4,2,1,2,4,3,2,2,1,4,1,4,3,1,3,4,2,1,5,2,3,4,3,5,2,4,2,2,5,2,4,1,1,5,5,5,5,5,5,4,5,5,5
"4658","European",43,"Missed","Female","Right",1,"GB",4,5,5,5,5,5,5,5,2,4,4,3,2,3,4,3,4,2,4,3,1,2,3,1,1,1,2,2,5,3,3,4,1,2,5,2,5,4,2,2,4,5,5,5,5,5,5,2,5,5
"4659","Other",31,"No","Male","Right",2,"CR",2,3,3,3,3,5,2,4,3,3,4,4,2,3,4,2,5,1,2,2,1,2,1,1,1,1,1,2,4,4,3,4,3,3,4,3,2,4,5,3,4,4,4,5,4,5,2,4,5,4
"4660","European",43,"Yes","Male","Left",1,"GB",1,3,5,3,5,4,3,2,1,3,1,3,1,2,5,5,1,5,5,4,2,1,5,1,1,1,1,1,5,5,3,4,1,1,5,2,2,4,3,2,1,5,5,5,5,5,4,2,5,5
"4661","European",31,"Yes","Female","Right",1,"US",3,2,3,3,4,5,3,1,3,2,3,5,1,2,5,3,4,2,4,4,1,2,1,1,2,1,2,1,5,5,2,4,1,2,5,4,3,4,2,2,4,3,3,3,5,4,5,2,5,4
"4662","European",39,"No","Male","Right",1,"SK",2,3,2,3,2,4,2,3,3,1,3,3,2,5,2,4,3,2,4,5,4,4,3,2,4,1,4,5,4,1,3,2,3,4,4,1,3,2,3,1,2,5,3,5,4,4,5,4,4,5
"4663","Indian",24,"Yes","Male","Left",1,"GB",1,1,5,2,4,2,2,2,2,2,5,5,2,3,2,1,4,1,1,2,4,2,3,3,4,4,4,3,3,4,3,1,1,3,2,5,3,3,4,2,3,5,5,5,5,5,5,2,4,5
"4664","Other",18,"No","Male","Right",1,"PK",1,5,5,1,5,1,1,1,1,1,5,1,1,1,1,1,1,5,5,5,5,2,1,5,1,1,1,1,5,5,1,1,1,5,1,5,5,5,5,5,1,1,1,1,5,5,5,5,5,5
"4665","European",45,"Yes","Female","Right",1,"US",1,4,4,2,4,5,2,3,3,2,2,3,2,4,4,3,4,2,3,1,1,1,2,2,1,1,2,1,4,4,3,4,2,2,3,2,3,4,4,3,4,3,4,1,4,5,4,4,4,4
"4666","European",29,"Yes","Female","Right",1,"GB",1,2,3,2,4,5,3,2,2,1,3,3,2,2,3,2,4,1,2,2,3,2,2,2,4,4,3,3,4,3,2,1,3,2,5,4,3,4,2,3,5,5,4,5,4,5,4,4,4,5
"4667","Mixed",22,"Yes","Female","Left",5,"US",3,3,3,3,2,3,2,2,3,2,1,2,1,4,3,3,1,4,4,4,4,3,1,3,3,3,3,4,3,3,1,4,2,4,1,3,2,3,2,2,3,3,5,3,3,4,4,3,4,4
"4668","European",17,"Yes","Male","Right",2,"US",4,3,2,3,3,3,3,1,3,4,4,2,2,3,5,2,5,1,2,4,4,3,3,5,4,5,4,5,1,5,5,5,2,2,4,4,1,4,5,5,4,5,5,5,5,5,5,4,1,5
"4669","European",14,"Yes","Female","Right",1,"US",3,5,5,5,5,5,3,4,5,5,4,4,2,4,3,2,3,2,2,2,1,1,1,1,1,1,1,2,4,4,2,2,2,2,2,3,1,4,1,2,5,5,4,5,4,4,5,5,4,5
"4670","European",19,"Yes","Male","Right",1,"US",4,4,4,4,4,5,3,3,4,4,5,5,5,5,5,1,5,1,1,1,3,2,2,3,3,4,2,3,2,4,3,4,3,2,4,2,4,4,4,2,5,5,4,5,5,5,5,5,2,5
"4671","West African",22,"Yes","Male","Right",2,"US",2,2,3,4,3,4,2,4,4,2,2,4,2,2,2,4,2,2,4,4,2,3,3,2,2,2,2,2,4,4,3,4,2,2,4,1,2,2,2,2,4,5,5,4,4,5,4,4,5,4
"4672","European",29,"Yes","Female","Right",1,"PT",1,3,1,2,4,3,1,2,2,1,1,3,1,2,1,5,2,4,4,3,1,2,2,1,3,2,2,2,4,2,5,5,2,3,5,1,2,2,4,2,1,1,3,3,4,2,3,1,5,3
"4673","European",16,"Yes","Male","Right",1,"US",2,3,4,3,3,3,2,3,3,2,4,4,4,2,4,3,3,2,4,3,2,3,4,3,2,1,3,2,4,3,3,4,2,3,5,3,2,3,3,2,4,4,4,3,4,5,4,4,4,5
"4674","Missed",26,"Yes","Female","Right",1,"GB",3,5,4,4,5,5,4,4,4,5,4,4,2,3,3,3,2,3,3,3,1,1,2,1,1,1,1,1,5,4,5,5,3,3,4,2,3,2,5,2,4,3,4,3,3,4,4,3,4,3
"4675","European",23,"Yes","Male","Right",1,"GB",3,1,4,1,4,4,2,1,1,4,1,3,1,3,1,5,1,5,5,3,3,2,5,1,2,1,2,1,5,5,2,5,1,5,5,1,5,3,5,3,2,4,5,4,4,5,5,1,5,5
"4676","European",32,"Yes","Female","Right",1,"US",3,5,4,4,4,4,4,4,4,4,1,3,1,3,4,3,3,4,3,3,1,1,2,1,1,3,1,2,5,4,2,3,2,2,2,4,1,4,2,1,4,4,5,5,5,5,3,2,4,4
"4677","European",30,"Yes","Female","Right",2,"US",1,3,4,3,2,5,1,3,3,1,2,2,2,3,2,4,3,2,4,3,1,3,2,2,2,1,2,2,5,4,1,2,2,2,3,4,1,4,1,1,5,5,5,5,5,5,5,5,5,5
"4678","Mixed",33,"Yes","Female","Right",2,"US",1,4,5,5,5,4,5,1,5,1,4,5,4,5,4,1,5,1,5,1,1,1,1,1,1,1,1,1,5,5,2,1,1,1,1,5,1,2,1,1,2,5,2,5,4,5,5,1,2,5
"4679","European",18,"No","Male","Right",2,"CA",1,1,3,1,2,2,1,2,3,3,5,5,5,3,4,1,4,1,1,4,3,4,1,5,5,4,5,4,5,4,2,5,1,2,5,1,5,1,5,2,4,5,5,5,5,5,5,4,5,5
"4680","Missed",17,"Yes","Female","Right",1,"US",4,5,5,5,5,5,5,3,5,5,1,2,1,4,5,1,5,1,1,1,1,1,1,1,1,1,1,1,5,5,2,4,1,1,1,5,1,5,1,1,5,1,5,4,5,5,5,2,3,5
